,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
29692,66.77789108447449,16.429579986614307,21.7524975456685,108.78997030370749,-26.28176339967887,16.604879999999998,3.772418
29693,66.77717673131863,16.430092002554506,21.66732573514696,107.56779251043268,-24.91171284914873,16.533167000000002,3.7260932999999996
30958,66.66767261684849,16.74677258632566,21.852128841107575,107.47186617521814,-31.530803843335423,7.950683000000001,0.81960154
32455,67.16468609875307,16.969906003224942,20.707493378225784,102.49011854574022,-27.08546350145112,14.05441,-0.33930874
34770,68.49438499286096,15.163527195057778,20.64126832294862,108.03672531476835,-33.110137010660075,8.2856655,1.0252385
34878,68.66689038204488,15.208964911975178,21.075074152262673,103.15688773254992,-35.85557174837498,11.549942,2.0912971000000002
35164,66.60303643900508,16.853180488088586,26.757921734572854,95.67399868464571,-38.76184315143705,7.886145599999999,0.81799173
35775,66.57982992496278,17.050474748389963,21.204050746536428,101.85154123967042,-28.253993605040456,16.338469,3.5770655
36240,66.25145306022212,16.98478765438497,18.35602152779153,91.12098370948652,-24.70689373591939,9.9699745,1.2241106000000002
37685,66.81983230907242,17.241711375171782,21.814446205469928,107.51215513083208,-31.586936720187346,12.136619999999999,2.210867
40349,65.15179237979066,15.095358731795551,21.089906328443735,108.44328858667495,-21.17075959243724,5.2019286,0.31598282
41234,64.78857902000178,15.163184312317922,12.77082227821334,114.328150351204,-19.54223457057411,19.262972,3.5461578
42308,65.85493019594335,16.777147465731876,20.795046033983947,106.9709172238661,-26.247469207012443,5.573976999999999,0.40038252
47194,65.80253436758252,15.712784182546748,21.566208065928656,112.24850247636292,-21.56015783535826,14.3163395,2.9911318
47240,65.85591280295498,15.763005166817575,24.134459825424962,125.17305802663107,-26.473774863980967,10.021945,1.4853077
48940,64.94888616843296,15.627538192852759,21.66454874483989,116.24694786142688,-23.368325290143204,3.4027567000000003,1.2049625
50821,66.09326952772372,17.078836040859617,19.95899563246898,99.88705024230195,-26.67848380960727,6.855921,0.591115
52311,66.30695338557209,17.268076545714347,19.31283635339333,107.26120047579408,-27.188425324213828,11.998244999999999,2.6850185
54052,66.02741879597104,17.4442235658507,21.645976040714604,107.84832747952228,-22.62373525280196,14.596135999999998,2.597931
54102,66.02452121402942,17.443985101312073,21.619241044373013,110.58004635581655,-32.8087266938356,4.755855599999999,0.22975779
56848,65.73422490902678,17.542390757517502,20.30919733178576,106.2119480857348,-27.692344422611367,3.5160440000000004,1.1873329
61007,64.97907765724915,16.522417532947376,21.725333783131415,106.06273081506649,-32.65447460692883,7.021937400000001,0.7089795999999999
61719,67.20174925382867,17.285341899758865,21.5489076022758,108.67985266985404,-28.446330982590844,7.7025585,0.7695645999999999
64260,67.6780424615967,14.661429548173768,24.44786660420823,120.4713690861953,-23.898170768119048,15.196015,3.2821007000000004
64361,67.6415947161492,14.747976746494446,20.132587476239593,97.18962516286848,-16.36292548313833,13.689717000000002,2.7153435
67516,67.81866462842426,15.00322280399349,21.05318989100504,101.1552367983385,-20.258241111458684,16.090866000000002,3.5432816
68013,67.9326510942889,15.041007895036627,19.653211597272005,102.22101671140982,-12.1587021843932,11.476107,2.0255966
72262,67.30193646682096,15.273804206793626,21.451662078172305,103.30019069611255,-22.128253858087977,11.554099,1.9621143
72906,67.53632737172786,15.637736095425186,21.420137280794197,108.88056712014205,-21.818978704149462,5.6056676,0.4476633
74221,67.96911967367434,15.49937349658422,21.871807832755167,105.36486514556809,-24.24098903749085,10.49808,1.5730046999999998
74734,68.64759095859309,15.504503855092008,21.66896992865236,100.96281435030956,-26.814017528680058,7.7824160000000004,0.78598595
76012,68.63451075082207,15.827466076708387,19.196267295270147,90.27940471974104,-20.41792654543152,9.416291000000001,1.0850573000000001
76532,67.93658293586253,15.630149907181584,21.92810928990445,104.99937028732843,-31.71863805393139,13.436778,2.7022161
76533,67.9373303656096,15.629243097689292,21.9411429349474,103.60681970600949,-23.577862998495746,11.270382000000001,1.9153843000000002
77280,67.66251575060892,15.691769659062851,21.86843191355519,103.48821587457377,-24.35376333116052,5.4175873,0.32913733
77422,67.64578394363194,15.733880135447295,17.485169103609127,100.58648261744736,-25.256904263235374,8.67361,1.0493888999999998
77754,67.96612153925632,15.851471350184571,21.00505488455235,99.4956310598399,-34.329990882970876,5.928877,0.46518755
78119,68.24817726690902,15.818854771000634,21.357313780981578,100.37574321605688,-25.473691498986692,8.475605,0.9044514000000001
78503,68.20929931916466,16.00568312875324,21.986514300716404,101.05427327696728,-29.529461832054025,8.728549000000001,1.086051
81831,66.90003194033417,15.589085472787545,21.284016509945317,105.16744918201685,-23.914466137534934,7.289236,0.6894736
83835,67.16608051054888,15.870784455320392,21.81251596251546,106.14776250704209,-20.293824952737534,3.3779078,0.39932775
84125,66.45571421241527,15.521152733202104,19.244942091511408,118.90400050998016,-10.06363019801935,11.395764,1.9788427
84163,66.52490368958763,15.52423039219106,23.521027428410388,124.19601548221381,-25.31342817867885,7.349478200000001,0.7129674
84519,66.5869485853136,15.618207900194713,21.3957803576917,87.43530172194305,-20.978016384764462,4.4061656,0.37813282
85728,66.40598637273915,15.94090753969732,21.107643227831808,102.95013743101791,-26.0262116770142,6.341616999999999,0.64434147
88361,67.69551967147464,16.148532608296946,22.45280262424481,114.044775757711,-33.38083251325954,6.406904,0.5842619000000001
88612,67.21906200793009,15.981472635522985,22.15827839888896,110.42404683449864,-27.23903776948722,11.251078999999999,1.8968086
88966,67.64062132435598,16.193900711881753,22.18747294665825,104.88879350180169,-25.44597646732355,4.752029,0.23295069
90791,67.79637749253605,16.39576252180493,20.316503143723224,98.79967538236878,-24.708433603102588,13.791429,2.7550125
91731,67.37958519537817,16.244692315734465,21.81806190139089,104.46346593636034,-21.071062521463688,9.932404,1.3727016
91987,67.25111621738195,16.346213879024717,21.63251936018934,105.10688783880319,-27.31710053973617,13.074519,2.6452227
92238,66.92021718932686,16.248607862645795,18.8055441535833,92.26337778265044,-21.211592285440677,14.299376500000001,2.805253
92883,67.04582690253649,16.47079736733054,23.61965005257645,114.2985456740802,-31.90279009515716,10.505475,1.6662092
94709,67.49102855410932,16.67271469531208,21.918833298371936,106.76090585888045,-28.3255795003102,8.859189,1.0197
95184,67.48275769215242,16.913911822491304,22.72646779815639,109.78026960512184,-31.237025144128122,11.965812,2.199377
98336,65.9772483642147,14.052019583524013,23.11137844797413,115.51631633334897,-19.066040788603033,10.364231,1.5692282
99936,66.85088845612013,14.11857201972296,22.33738497873375,108.56474654944674,-18.051971998953,14.462616,2.9582796
100871,66.85605547720428,14.260578556388573,20.422279913605212,102.45836199187342,-19.956020786554035,10.026131,1.33076
102291,66.94644176768678,14.417664583381967,20.35256529381705,100.55014107182478,-19.20040671441904,9.218413,1.0889225
